cell_id,algorithm,geometry,workload,seed,eval_seed,training_episodes,wall_clock_time_s,convergence_status,final_reward,final_loss,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,realization_hash,checkpoint_sha256,git_sha,invariants_passed
grid_200m_CoTOP_w40_seed3,CoTOP,grid_200m,40,3,30003,500,542.72,STABLE,-431.7022,387.4041,400,400,0,1.0,0.277,0.1011,1.9827,0.7003,0.2572,0.0199,0.0,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,d1df4e67139cca3033bd4edf9eeab2885cc84f96ffc59faef5ad0622058155ed,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w40_seed4,CoTOP,grid_200m,40,4,30004,500,622.26,STABLE,-58.3884,7.4616,400,400,0,1.0,0.2753,0.089,0.1392,0.0642,0.2726,0.0027,0.0,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,70c209b0bd31b7e8aca5fa0fcb1e5f187d1eade9bd8287391bbdba84216d02ce,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w20_seed0,DDQN,grid_200m,20,0,30000,500,251.27,STABLE,-40.1755,0.0493,200,200,0,1.0,0.2677,0.0984,0.1404,0.0637,0.265,0.0028,0.0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,4088627e0f00132ada4eac49de507f634c10a1940de468d918d8537a1cfe23fd,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w20_seed1,DDQN,grid_200m,20,1,30001,500,259.28,STABLE,-36.7746,0.063,200,200,0,1.0,0.2619,0.1006,0.1411,0.0674,0.2591,0.0028,0.0,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,b7427666112b9205b777ad61e052863a77378e8f37bf3c03ca3f9c29ddaf1ba5,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w20_seed2,DDQN,grid_200m,20,2,30002,500,259.27,STABLE,-39.2115,0.0738,200,200,0,1.0,0.2501,0.0959,0.1422,0.0635,0.2473,0.0028,0.0,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,4d220012be4defe3e3e958d996f2afd58fcdcdf055b1b484c7c69c5b19dd8574,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w20_seed3,DDQN,grid_200m,20,3,30003,500,260.53,STABLE,-38.2184,0.0431,200,200,0,1.0,0.2361,0.1011,0.1363,0.0672,0.2334,0.0027,0.0,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,5869653c1f4d00d65a5edfced24a3d23dc528b704fce97448694209d96133c1c,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w20_seed4,DDQN,grid_200m,20,4,30004,500,259.52,STABLE,-38.064,0.0541,200,200,0,1.0,0.268,0.0952,0.138,0.0641,0.2653,0.0027,0.0,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0a1e55bbe9f52d751271a881de28eca3fd25bf3ee95aa8f0fb3d6106964e02b1,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w30_seed0,DDQN,grid_200m,30,0,30000,500,388.37,STABLE,-60.6958,0.0507,300,300,0,1.0,0.2754,0.0948,0.1392,0.0643,0.2727,0.0027,0.0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,915895d87c6a7ed5b06d142f7f18e42e62299a866507ed3fc5f57aa28b4c2a13,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w30_seed1,DDQN,grid_200m,30,1,30001,500,351.13,STABLE,-62.5721,0.0551,300,300,0,1.0,0.2765,0.0976,0.141,0.0667,0.2738,0.0028,0.0,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,4fe9cba70a836c5234a3151625888c0c19e14a71c8d110b4169189093b010af3,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_DDQN_w30_seed2,DDQN,grid_200m,30,2,30002,500,363.71,STABLE,-53.8914,0.0378,300,300,0,1.0,0.2627,0.0923,0.1403,0.0634,0.2599,0.0028,0.0,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,4f2a8f7f4e6e23d913c790282ff148590d15b92164da2c9fff8e7013d9a61796,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
