seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,23,wo_co,-48.391174802607324,4.466760572549282,0.37235690771145225,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,24,cotop,-46.45488140189584,4.307964339301984,0.3375238008876008,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,24,local,-47.76766515307123,4.486866808459237,0.2898997068478851,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,24,greedy,-96.10673515632993,4.748792689158034,4.861880826474959,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,24,wo_md,-45.29663230628708,4.2253824305038705,0.3042808001248369,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,24,wo_tp,-98.35248942365818,4.356908684175069,5.478340258190752,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,24,wo_co,-45.274861442105106,4.191633592582444,0.33585255162806665,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,25,cotop,-45.491441020635705,4.232504888152981,0.3166392139105899,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,25,local,-45.78345776631208,4.261471197303649,0.31687457932755947,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,25,greedy,-85.51900725237465,4.218897126239632,4.3330035989978315,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,25,wo_md,-47.796152766654785,4.477100369730028,0.30251490693545113,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,25,wo_tp,-105.84100358011841,4.683695037808425,5.900405320203416,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,25,wo_co,-52.521578285162775,4.956542382659193,0.29561544585708405,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,26,cotop,-44.43204306641371,4.115872258145585,0.327332048495787,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,26,local,-47.16496063015953,4.40895292194925,0.3075431410667022,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,26,greedy,-87.37512501420758,4.2875715617137224,4.449940939707039,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,26,wo_md,-48.68830347218616,4.557185486213756,0.31164486100486066,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,26,wo_tp,-99.70566692425662,4.421358543347251,5.54920814907841,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
