seed,episode,reward,actor_loss,critic_loss,entropy,completion_ratio_pct,avg_delay_s,avg_wait_delay_s,avg_energy_J,avg_queue_Mcycles,max_queue_Mcycles,total_tasks,duration_s
2,45,-1667.0543,-438.617554,55486.714844,1.945013,100.0,2.0013,0.0153,3.5555,11.85,106.74,600,15.831
2,46,-1620.7733,-428.209564,52533.671875,1.945029,100.0,1.9619,0.0145,3.4406,11.59,95.07,600,15.247
2,47,-1634.5665,-435.059723,54171.300781,1.945043,100.0,1.974,0.0141,3.4745,12.07,93.3,600,15.018
2,48,-1624.9121,-425.165802,52491.988281,1.945048,100.0,1.9461,0.0138,3.4703,11.53,88.63,600,15.164
2,49,-1653.7197,-438.773285,55085.160156,1.945051,100.0,1.9686,0.0138,3.5438,11.37,98.3,600,15.288
2,50,-1635.1817,-433.381927,54300.761719,1.945032,100.0,1.9648,0.0148,3.4858,11.72,98.62,600,15.126
3,1,-1607.3822,-427.484894,52949.453125,1.944954,100.0,1.9768,0.0159,3.3812,12.77,106.12,600,14.968
3,2,-1613.696,-432.849548,53916.007812,1.944959,100.0,1.9722,0.0154,3.4068,11.78,95.63,600,15.026
3,3,-1615.4195,-430.997192,53045.464844,1.944959,100.0,1.9864,0.0138,3.3983,11.67,93.86,600,14.944
3,4,-1631.6402,-435.814911,54122.402344,1.944964,100.0,1.9857,0.0154,3.4531,11.5,99.9,600,15.213
3,5,-1590.2754,-421.969879,51286.21875,1.944977,100.0,1.9732,0.0153,3.3277,11.57,103.08,600,15.964
3,6,-1587.6858,-422.782837,51476.867188,1.944986,100.0,1.9914,0.0148,3.3009,11.11,92.72,600,16.075
3,7,-1585.4176,-426.426361,52100.976562,1.944994,100.0,1.9674,0.0153,3.3173,11.23,93.33,600,16.208
3,8,-1626.8242,-425.26358,52371.066406,1.945001,100.0,1.9829,0.014,3.4398,11.28,97.08,600,16.477
3,9,-1634.0932,-435.453857,54069.085938,1.945009,100.0,1.9321,0.0129,3.5149,11.44,93.35,600,17.64
3,10,-1664.3021,-442.161499,55989.734375,1.945012,100.0,1.989,0.0141,3.5587,11.43,90.67,600,17.163
3,11,-1593.9086,-428.027405,53149.601562,1.945011,100.0,1.9452,0.0145,3.3678,11.54,93.15,600,16.852
3,12,-1620.7798,-430.560822,53201.242188,1.945006,100.0,1.9506,0.0146,3.452,11.9,94.3,600,17.14
3,13,-1562.57,-413.444489,49418.621094,1.945002,100.0,1.9644,0.0161,3.2442,11.27,97.11,600,16.476
3,14,-1604.7505,-428.565704,52643.335938,1.945003,100.0,1.9662,0.0148,3.383,12.03,112.44,600,16.02
3,15,-1635.6174,-432.439728,53923.785156,1.945,100.0,1.9855,0.0141,3.4666,11.27,94.2,600,16.307
3,16,-1626.7268,-434.236176,53768.777344,1.944995,100.0,1.95,0.013,3.4724,11.0,93.36,600,16.622
3,17,-1669.2282,-447.386261,57749.472656,1.944992,100.0,1.9847,0.0141,3.5794,11.63,101.75,600,17.068
3,18,-1651.3356,-437.264282,54846.386719,1.944986,100.0,1.9507,0.0146,3.5537,11.85,111.95,600,16.86
3,19,-1631.3787,-432.139282,53713.089844,1.944986,100.0,1.9363,0.0138,3.5016,11.26,89.01,600,16.666
3,20,-1637.668,-434.918945,54321.015625,1.944978,100.0,1.9463,0.0148,3.5126,11.61,93.23,600,16.361
3,21,-1622.232,-433.974518,54168.089844,1.944982,100.0,1.9599,0.0132,3.4475,10.86,85.79,600,16.275
3,22,-1607.8465,-424.401764,51777.527344,1.944987,100.0,1.9484,0.0144,3.4111,11.55,93.29,600,16.518
3,23,-1633.0673,-431.842468,53591.988281,1.944992,100.0,1.9541,0.0135,3.4894,11.16,87.59,600,16.885
3,24,-1651.0121,-439.846619,55665.960938,1.944996,100.0,1.963,0.0144,3.5404,11.95,111.01,600,16.712
3,25,-1568.9003,-415.372314,49424.578125,1.944999,100.0,1.9447,0.0148,3.285,11.53,95.2,600,16.738
3,26,-1644.0797,-441.227814,55582.078125,1.945002,100.0,1.9711,0.0131,3.5092,11.21,91.4,600,16.681
3,27,-1629.1805,-431.60672,53376.851562,1.945,100.0,1.9826,0.0146,3.448,11.35,94.23,600,16.501
3,28,-1625.2162,-432.345978,53888.089844,1.944994,100.0,1.9996,0.014,3.4178,11.25,97.5,600,16.47
3,29,-1594.5415,-423.304199,51011.722656,1.944983,100.0,1.9388,0.0134,3.3763,11.48,88.92,600,17.214
3,30,-1587.9394,-424.001312,51647.945312,1.944969,100.0,1.9029,0.0142,3.3903,11.55,88.77,600,16.494
3,31,-1617.6391,-428.410767,52569.386719,1.944942,100.0,1.9269,0.014,3.4652,11.47,100.29,600,16.569
3,32,-1613.081,-427.480194,52470.1875,1.944909,100.0,1.9491,0.0142,3.4279,11.65,92.17,600,16.732
3,33,-1574.9424,-419.455322,50092.785156,1.944874,100.0,1.94,0.0147,3.3099,11.5,103.4,600,16.386
3,34,-1631.1184,-436.518494,54514.808594,1.944835,100.0,1.9574,0.0138,3.4796,11.71,96.34,600,16.055
3,35,-1634.3377,-434.99881,54386.132812,1.944791,100.0,1.9824,0.0153,3.4654,11.62,100.01,600,16.645
3,36,-1571.4795,-413.796234,49461.238281,1.944744,100.0,1.9506,0.0153,3.2876,11.71,104.75,600,16.627
3,37,-1594.9764,-422.359833,52048.96875,1.944693,100.0,1.9523,0.0158,3.3643,11.48,105.33,600,16.643
3,38,-1648.4119,-439.32312,55803.550781,1.944639,100.0,1.9985,0.0147,3.4962,10.95,90.16,600,16.449
3,39,-1597.976,-420.839752,51274.484375,1.944578,100.0,1.9645,0.0141,3.3621,11.37,86.15,600,16.556
3,40,-1639.4716,-430.878723,53392.003906,1.944514,100.0,2.0022,0.0144,3.4627,11.79,97.24,600,16.552
3,41,-1560.1752,-411.196686,49062.492188,1.944441,100.0,1.9446,0.0169,3.256,11.87,105.11,600,16.534
3,42,-1601.106,-421.250092,51151.421875,1.944359,100.0,1.9355,0.0142,3.4015,11.66,102.84,600,16.977
3,43,-1574.1318,-416.761261,50071.125,1.944261,100.0,1.9098,0.0133,3.3373,11.1,100.49,600,16.546
3,44,-1682.7325,-449.28891,58304.027344,1.944154,100.0,1.9888,0.0143,3.6203,11.82,88.49,600,16.423
3,45,-1569.8329,-418.700043,50737.261719,1.944035,100.0,1.9377,0.0155,3.2951,11.62,94.5,600,15.92
3,46,-1575.588,-414.568085,49687.09375,1.943914,100.0,1.9516,0.015,3.3003,11.61,111.64,600,16.216
3,47,-1626.8586,-424.735291,52266.375,1.943777,100.0,1.9395,0.0139,3.4833,11.75,92.09,600,15.592
3,48,-1593.0627,-421.650482,51651.703125,1.94363,100.0,1.8915,0.0135,3.4187,11.42,93.41,600,17.565
3,49,-1561.9276,-413.834595,49672.722656,1.943472,100.0,1.9493,0.0149,3.2572,11.11,88.19,600,17.367
3,50,-1627.3896,-427.375885,53155.554688,1.943292,100.0,1.9498,0.0143,3.4748,11.23,102.72,600,16.531
4,1,-1566.4409,-413.682373,49583.824219,1.944837,100.0,1.951,0.0158,3.2704,12.44,92.34,600,16.706
4,2,-1509.3194,-399.091492,45609.292969,1.944834,100.0,1.9209,0.015,3.1101,11.42,97.85,600,16.138
4,3,-1585.9713,-426.286133,52356.597656,1.944829,100.0,1.9552,0.0133,3.3314,11.37,85.1,600,15.473
4,4,-1556.1293,-414.201752,49182.871094,1.944812,100.0,1.9719,0.0144,3.2152,11.45,96.3,600,16.033
4,5,-1644.8269,-436.550598,54689.722656,1.944791,100.0,1.9712,0.0131,3.5116,11.28,95.91,600,15.78
4,6,-1591.1557,-421.785767,50776.191406,1.944764,100.0,1.9223,0.013,3.3815,10.93,93.53,600,16.099
4,7,-1606.7745,-427.51535,52570.042969,1.94474,100.0,2.0027,0.0148,3.3532,11.95,121.07,600,16.194
4,8,-1575.1326,-416.535583,49611.851562,1.944717,100.0,1.9188,0.0144,3.3316,11.47,100.0,600,16.37
4,9,-1627.3154,-433.832642,53844.429688,1.944696,100.0,1.9718,0.0128,3.4526,11.41,105.58,600,16.076
4,10,-1645.4697,-437.100159,55337.511719,1.944668,100.0,1.9575,0.0136,3.5274,10.96,94.41,600,16.43
4,11,-1579.515,-423.646149,51408.039062,1.944633,100.0,1.9302,0.0167,3.3348,11.82,107.77,600,15.991
4,12,-1579.1033,-419.887451,50287.582031,1.944597,100.0,1.9466,0.0158,3.3171,11.78,101.23,600,16.469
4,13,-1584.8961,-423.230103,51451.808594,1.94456,100.0,1.9649,0.0155,3.3181,11.6,93.78,600,16.409
4,14,-1599.4236,-427.904175,52555.488281,1.94452,100.0,1.9987,0.0149,3.3327,11.79,101.34,600,16.339
4,15,-1637.1604,-436.544556,54784.988281,1.944476,100.0,1.9777,0.0143,3.4795,11.42,93.16,600,16.519
4,16,-1611.3435,-430.676392,53147.511719,1.944428,100.0,1.9484,0.0143,3.4227,11.49,92.69,600,16.722
4,17,-1583.7641,-419.627747,51292.0,1.944381,100.0,1.9505,0.0148,3.3287,11.46,108.02,600,16.541
4,18,-1681.769,-446.706451,57154.375,1.944334,100.0,1.9725,0.0124,3.6334,11.46,94.31,600,17.202
4,19,-1626.2525,-432.233185,53959.480469,1.944282,100.0,1.9984,0.0139,3.4224,11.36,86.8,600,16.801
4,20,-1570.6684,-414.564911,49522.183594,1.944227,100.0,1.9269,0.0148,3.3086,11.87,94.82,600,18.174
4,21,-1612.9492,-427.825897,52724.683594,1.944182,100.0,1.9713,0.0135,3.4052,11.07,92.68,600,16.686
4,22,-1656.7865,-438.784882,55357.210938,1.944144,100.0,1.9821,0.0134,3.5405,11.62,90.51,600,16.497
4,23,-1608.3807,-429.162628,53124.339844,1.944107,100.0,1.9573,0.0142,3.404,11.13,101.44,600,15.654
