ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
w/o CO,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.3989,0.1373,0.1392,0.0642,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.7353,0.5312,0.1389,0.0625,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.7353,0.5312,0.1389,0.0625,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.7344,0.5341,0.1389,0.0625,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,0.7353,0.5312,0.1389,0.0625,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.7535,0.5502,0.1421,0.0644,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.7535,0.5502,0.1421,0.0644,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.7535,0.5505,0.1421,0.0644,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,0.7535,0.5502,0.1421,0.0644,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.7465,0.5345,0.1527,0.0645,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
